,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
231,WR,Mississippi,195.0,4.75,32.5,,114.0,,,6.17,0
232,OLB,Michigan State,231.0,4.68,,,,,,6.42,1
233,WR,Troy,205.0,4.66,39.5,,129.0,6.93,4.13,6.17,1
234,WR,Southern Miss,169.0,4.45,,,,,,6.17,1
235,OLB,Nevada,261.0,4.9,30.5,20.0,111.0,7.75,4.52,6.25,0
236,CB,Ohio State,191.0,4.43,,,,,,5.92,1
237,OLB,Arizona,233.0,4.75,32.0,18.0,111.0,7.43,4.45,6.17,1
238,WR,West Virginia,221.0,4.48,,,,,,6.17,1
239,CB,Pittsburgh,197.0,4.57,37.0,16.0,126.0,6.66,4.0,5.83,1
240,RB,Miami (OH),225.0,4.5,37.0,23.0,115.0,6.92,4.4,6.0,1
241,OT,Michigan State,333.0,5.59,26.0,22.0,95.0,8.15,5.13,6.5,1
242,QB,Louisiana Tech,215.0,4.91,25.5,,100.0,7.34,4.21,6.0,1
243,OT,Montana,308.0,5.5,25.0,22.0,94.0,8.33,5.0,6.5,0
244,QB,Louisville,222.0,5.37,26.5,,98.0,7.8,4.78,6.25,1
245,RB,Arizona State,216.0,4.48,32.5,,121.0,,,5.92,1
246,DE,Auburn,283.0,5.13,30.0,18.0,101.0,7.91,4.68,6.33,1
247,OT,Mississippi,299.0,5.37,26.5,20.0,99.0,7.49,4.88,6.25,1
248,C,Missouri,293.0,5.19,29.5,17.0,106.0,,,6.17,0
249,DT,Wake Forest,312.0,5.09,29.5,25.0,94.0,7.72,4.72,6.33,1
250,OG,Texas,314.0,5.31,29.5,25.0,101.0,8.31,4.76,6.42,0
251,RB,Georgia Tech,232.0,4.68,37.0,19.0,124.0,7.21,4.31,6.08,0
252,CB,LSU,188.0,4.55,,,,,,5.92,1
253,OG,Colorado State,321.0,5.35,,,,,,6.25,0
255,OT,Alabama,325.0,5.08,,,,,,6.42,1
256,CB,Maryland,202.0,4.5,37.0,10.0,116.0,,,6.0,1
