,Pos,School,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Height,Drafted
4342,RB,Michigan State,230.0,4.6,31.5,24.0,118.0,6.75,4.24,6.08,1
4343,RB,North Carolina,202.0,4.53,33.5,19.0,122.0,6.91,4.12,5.67,1
4344,FB,Wake Forest,246.0,4.88,35.0,36.0,119.0,7.27,4.42,6.08,1
4345,OG,North Carolina,329.0,5.27,22.5,22.0,98.0,7.85,4.96,6.5,1
4346,WR,Jacksonville State,193.0,4.59,33.0,14.0,117.0,,4.15,5.83,1
4347,FB,Ohio State,238.0,5.0,32.0,25.0,109.0,7.28,4.44,5.92,0
4348,OLB,Florida,245.0,4.59,32.5,22.0,118.0,6.99,4.24,6.08,1
4349,WR,TCU,206.0,4.38,34.0,22.0,131.0,6.68,4.1,5.92,1
4350,DT,Mississippi State,310.0,5.14,26.5,32.0,104.0,7.16,4.64,6.25,1
4351,S,Oregon,204.0,4.64,,27.0,,,,5.83,1
4352,QB,Tennessee,232.0,5.05,,,100.0,7.2,4.51,6.5,0
4353,P,Arkansas,213.0,4.74,29.0,11.0,110.0,,,6.08,0
4354,OLB,Kansas State,241.0,4.62,,,116.0,,,6.0,1
4355,OT,BYU,310.0,5.2,28.0,26.0,100.0,7.43,4.7,6.42,0
4356,WR,Georgia,213.0,4.63,,,,,,6.33,0
4357,DE,East Central (OK),263.0,4.86,31.5,,118.0,7.32,5.0,6.33,1
4358,DE,Illinois,255.0,4.78,33.0,22.0,113.0,6.91,4.44,6.42,1
4359,RB,Nebraska,214.0,4.73,39.0,21.0,125.0,6.85,4.09,5.83,1
4360,CB,Louisville,186.0,4.58,33.0,17.0,116.0,6.92,4.25,5.75,0
4361,QB,Louisiana Tech,212.0,4.78,30.5,,112.0,6.98,4.28,6.17,0
4362,K,Kansas State,180.0,4.76,,,,,,5.83,0
4363,DE,Florida State,276.0,4.9,,28.0,,,,6.33,1
4364,C,Notre Dame,303.0,5.33,25.5,,98.0,7.81,4.71,6.25,0
4366,OT,Boston Col.,316.0,5.21,28.5,24.0,108.0,7.81,4.7,6.58,0
4367,OLB,Southern Miss,250.0,4.64,41.5,19.0,139.0,7.1,4.32,6.25,1
4368,CB,Georgia,216.0,4.41,34.5,,117.0,7.1,4.3,6.0,1
4369,OG,North Carolina,311.0,5.07,27.0,35.0,108.0,7.78,4.84,6.17,1
4370,P,Idaho,219.0,5.13,,,,,,6.33,0
4371,TE,South Carolina,258.0,4.94,31.5,,116.0,7.12,4.45,6.25,1
4372,S,Florida International,217.0,4.64,38.5,,,,,6.0,1
4373,RB,Arkansas,227.0,4.37,33.5,31.0,121.0,6.96,4.38,5.92,1
4374,WR,Virginia Tech,233.0,4.56,39.5,19.0,120.0,7.15,,6.25,0
4375,CB,Utah State,186.0,4.51,35.5,16.0,127.0,6.52,4.02,5.92,1
4376,DT,Florida State,292.0,5.06,30.0,23.0,103.0,7.61,4.88,6.17,1
4377,OT,Memphis,317.0,5.25,24.0,21.0,98.0,7.91,4.77,6.58,0
4378,DT,Alabama,318.0,5.29,,,,,,6.42,1
4379,WR,Marshall,210.0,4.37,,,,,,6.25,1
4380,P,Hawaii,217.0,4.97,,,,,,6.25,0
4381,QB,Miami (OH),231.0,4.81,,,,,,6.25,1
4382,DE,LSU,277.0,4.8,33.0,,119.0,7.03,4.51,6.33,1
4383,CB,Hawaii,189.0,4.56,36.0,14.0,124.0,6.94,4.18,5.75,1
4384,TE,Notre Dame,250.0,4.68,35.5,22.0,119.0,6.92,4.32,6.42,1
4385,S,Florida,208.0,4.43,35.5,17.0,118.0,,,5.83,1
4386,RB,Clemson,199.0,4.61,34.0,,122.0,,,5.75,1
4387,TE,Stanford,249.0,4.76,30.5,24.0,111.0,7.08,4.47,6.42,1
4388,TE,San Diego State,254.0,4.84,32.0,,114.0,7.07,4.31,6.5,1
4389,S,Florida,207.0,4.58,34.5,,123.0,6.64,4.1,6.08,1
4390,OT,LSU,331.0,5.08,,25.0,,,,6.42,0
4391,TE,UCLA,259.0,4.82,,17.0,,,,6.58,0
4392,OT,Central Michigan,306.0,5.05,28.5,27.0,116.0,7.59,4.44,6.58,1
4393,DT,Florida,297.0,4.92,30.0,,106.0,7.4,4.75,6.25,1
4394,OT,Alabama,339.0,5.31,,21.0,,,,6.42,1
4395,OG,Texas A&M,318.0,5.54,23.5,25.0,102.0,8.11,5.06,6.42,0
4396,RB,LSU,210.0,4.5,38.5,25.0,130.0,6.87,4.25,5.75,0
4397,OT,Ohio State,308.0,5.14,30.0,33.0,113.0,7.62,4.68,6.67,1
4398,RB,UCLA,205.0,4.49,31.5,18.0,115.0,6.89,4.31,5.83,1
4399,C,Wisconsin,312.0,5.58,28.5,21.0,97.0,7.81,4.76,6.33,1
4400,WR,Virginia Tech,204.0,4.43,31.5,12.0,120.0,,,6.17,1
4401,TE,Maryland,242.0,4.62,35.5,18.0,115.0,7.09,4.35,6.33,0
4402,OT,Tennessee State,334.0,5.24,23.0,28.0,,,5.24,6.5,0
4403,DT,Georgia,342.0,5.44,26.5,,96.0,8.11,5.27,6.42,0
4404,DE,Michigan State,281.0,4.96,28.5,23.0,110.0,7.2,4.59,6.5,1
4405,OT,Chadron State,318.0,5.29,30.0,28.0,108.0,7.65,4.75,6.5,1
4406,RB,Florida,208.0,4.55,30.5,15.0,119.0,7.12,4.4,5.92,1
4407,QB,North Carolina State,225.0,4.94,26.5,,102.0,7.49,4.52,6.58,1
4408,WR,East. Kentucky,205.0,4.5,36.0,10.0,123.0,6.9,4.39,6.33,0
4409,OLB,Missouri,234.0,4.47,34.0,27.0,131.0,6.71,4.18,6.08,1
4410,DE,Clemson,276.0,4.87,31.5,26.0,114.0,,,6.33,1
4411,WR,Texas,183.0,4.27,,13.0,132.0,,,5.75,1
4412,TE,Arkansas,244.0,4.5,37.5,18.0,125.0,7.08,4.51,6.25,1
4413,RB,Pittsburgh,199.0,4.8,32.5,18.0,112.0,7.17,4.21,5.75,0
4414,CB,Connecticut,201.0,4.47,38.0,22.0,125.0,6.7,4.15,5.92,1
4415,QB,Minnesota,240.0,4.65,30.0,15.0,111.0,7.25,4.3,6.25,0
4417,OLB,Rutgers,241.0,4.71,30.0,17.0,116.0,7.58,4.2,6.08,1
4418,DT,South Florida,306.0,5.31,27.5,22.0,97.0,7.79,4.81,6.08,0
4419,WR,Arkansas,212.0,4.56,29.5,11.0,107.0,,4.31,6.17,1
4420,DT,Ohio State,320.0,5.31,26.0,,104.0,7.59,4.61,6.25,1
4421,RB,Boise State,211.0,4.52,33.5,23.0,120.0,7.07,4.35,5.75,0
4422,WR,Kansas State,229.0,4.55,35.5,20.0,116.0,6.89,4.39,6.08,1
4423,RB,Temple,208.0,4.68,32.5,19.0,113.0,6.95,4.18,5.67,0
4424,WR,Rutgers,231.0,4.46,38.5,17.0,129.0,6.99,4.33,6.25,0
4425,OT,Kansas,298.0,5.07,28.5,,112.0,7.52,4.51,6.42,1
4426,CB,Illinois,195.0,4.44,35.5,13.0,116.0,,,6.0,1
4427,CB,Houston,191.0,4.4,,,,,,5.92,1
4428,ILB,Florida A&M,240.0,4.68,32.0,21.0,124.0,7.4,4.55,6.17,1
4429,OG,Ohio,320.0,5.25,28.0,36.0,95.0,7.99,5.09,6.33,1
4430,CB,UCLA,198.0,4.62,29.0,,112.0,7.26,4.33,6.17,0
4431,DT,Penn State,303.0,5.23,22.5,28.0,103.0,7.49,4.51,6.08,1
4432,OLB,Penn State,243.0,4.78,,22.0,119.0,,,6.08,1
4433,OLB,South Carolina,243.0,4.76,33.0,15.0,113.0,7.3,4.26,6.08,1
4434,C,USC,302.0,5.29,,13.0,,,,6.25,1
4435,WR,Clemson,214.0,4.57,36.0,15.0,115.0,,4.5,6.08,1
4436,K,Florida State,193.0,4.74,33.5,,116.0,,,6.17,1
4437,P,Arizona State,232.0,5.06,,13.0,,,,6.33,0
4438,DT,Tennessee-Martin,329.0,5.23,26.5,22.0,104.0,7.85,4.7,6.33,1
4439,DE,SMU,277.0,4.62,34.5,38.0,121.0,7.07,4.51,6.67,1
4440,WR,Tennessee,196.0,4.44,39.5,,136.0,,4.33,6.33,1
4441,CB,Iowa,197.0,4.56,33.0,12.0,121.0,6.78,4.2,6.0,1
4442,LS,Hawaii,258.0,5.05,,24.0,106.0,,,6.42,0
4443,OG,Glenville State,328.0,5.65,20.5,20.0,91.0,8.07,5.03,6.42,0
4444,RB,Miami (FL),223.0,4.53,35.0,28.0,115.0,,4.62,5.83,1
4445,RB,Rutgers,203.0,4.68,29.0,20.0,110.0,,,5.58,1
4446,RB,Nevada,213.0,4.68,31.0,15.0,117.0,6.97,4.44,5.83,0
4447,TE,Rutgers,255.0,4.97,,3.0,,,,6.5,1
4448,S,Oklahoma,213.0,4.75,,16.0,,,,5.92,0
4449,DE,Florida State,251.0,5.07,,18.0,,,,6.17,1
4450,ILB,Florida,243.0,4.65,,27.0,,,,6.0,1
4451,DT,Georgia,346.0,5.21,,30.0,,,,6.33,1
4452,OT,Texas A&M,306.0,5.3,28.5,27.0,106.0,7.4,4.68,6.5,1
4453,WR,SMU,179.0,4.6,32.0,6.0,109.0,,4.53,5.75,0
4454,CB,Purdue,199.0,4.65,35.0,16.0,114.0,6.99,4.25,5.75,0
4455,S,Arizona State,209.0,4.54,36.5,12.0,125.0,6.77,4.07,6.0,0
4456,OT,Oklahoma,303.0,4.72,34.0,28.0,118.0,7.31,4.52,6.5,1
4457,ILB,Alabama,248.0,4.73,,,,,,6.17,1
4458,OT,Louisiana Tech,331.0,5.49,22.0,,88.0,8.06,5.06,6.42,0
4459,C,South Carolina,310.0,5.33,25.5,32.0,96.0,7.83,4.74,6.33,1
4460,OG,Alabama A&M,313.0,5.37,23.0,17.0,92.0,8.12,4.74,6.42,0
4461,DT,Georgia,313.0,5.06,26.5,30.0,101.0,,,6.25,0
4462,C,Alabama,306.0,5.43,,,,,,6.33,1
4463,DT,Bowling Green,302.0,5.33,,30.0,,7.34,4.44,6.17,1
4464,DE,UCLA,283.0,4.8,31.5,29.0,112.0,7.32,4.32,6.33,1
4465,OLB,Georgia,245.0,4.74,,,,,,6.17,1
4466,QB,Oklahoma,225.0,5.11,31.0,,115.0,7.12,4.3,6.33,1
4468,OLB,Oregon,248.0,4.54,32.5,,122.0,7.02,4.35,6.5,1
4469,TE,Colorado,269.0,4.71,31.5,22.0,113.0,,,6.5,1
4470,WR,East. Washington,216.0,4.67,33.5,9.0,115.0,7.11,4.44,6.42,0
4471,TE,Cincinnati,255.0,4.63,,,,,,6.42,1
4472,WR,Georgia,189.0,4.47,36.5,11.0,123.0,6.91,4.33,6.0,1
4473,ILB,Iowa State,250.0,4.66,,20.0,113.0,,,6.08,1
4474,QB,Kansas State,226.0,4.78,29.0,,111.0,7.17,4.4,6.42,0
4475,OLB,Iowa State,243.0,4.84,,,,,,6.17,0
4476,P,Ball State,207.0,4.84,,,,,,6.17,0
4477,DE,Utah,269.0,4.83,34.0,24.0,117.0,7.17,4.46,6.5,1
4478,OG,Valdosta State,317.0,5.13,22.5,23.0,105.0,7.72,4.65,6.33,1
4479,RB,Alabama,231.0,4.55,,,,,,5.92,1
4480,RB,South Carolina,221.0,4.65,,,,,,5.92,1
4481,WR,Syracuse,202.0,4.59,32.0,7.0,112.0,7.04,4.29,6.08,0
4482,DE,Auburn,255.0,4.6,33.0,27.0,119.0,7.14,4.4,6.25,1
4483,S,Alabama,220.0,4.66,33.5,,117.0,,,6.08,0
4484,DT,Notre Dame,298.0,4.95,,,,,,6.33,1
4485,FB,SMU,232.0,4.77,30.5,26.0,111.0,,,6.0,0
4486,P,UCLA,209.0,4.82,,,,,,6.08,1
4487,DT,LSU,309.0,5.08,25.0,30.0,104.0,7.53,4.67,6.17,1
4488,C,LSU,304.0,5.38,,25.0,,,,6.25,0
4489,OG,Oregon,313.0,4.91,28.0,,107.0,7.83,4.63,6.5,1
4490,OLB,UNLV,233.0,4.84,35.5,25.0,117.0,6.91,4.3,5.92,0
4491,DT,Utah,311.0,5.14,,,,,,6.17,1
4492,TE,Auburn,258.0,4.94,30.5,21.0,112.0,7.15,4.35,6.25,0
4493,C,West Virginia,310.0,5.2,25.0,25.0,98.0,7.6,4.83,6.25,0
4494,OG,Youngstown State,317.0,5.48,23.0,35.0,95.0,8.07,4.82,6.17,0
4495,OLB,Arizona State,223.0,4.74,,,114.0,,,5.92,0
4496,K,Nebraska,186.0,4.89,,,,,,6.0,0
4497,QB,Florida State,237.0,4.65,34.0,,118.0,7.08,4.21,6.42,1
4498,DE,TCU,256.0,4.78,,30.0,,,,6.17,1
4499,OT,Azusa Pacific,315.0,5.34,,31.0,,,,6.67,0
4500,CB,LSU,186.0,4.5,34.0,4.0,117.0,6.87,4.14,5.75,1
4501,OLB,Penn State,243.0,4.83,,28.0,,,,6.17,1
4502,RB,Stony Brook,209.0,4.54,,20.0,,7.21,4.43,5.75,0
4503,RB,Auburn,168.0,4.34,34.0,,121.0,,,5.83,0
4504,CB,Appalachian State,187.0,4.54,36.0,4.0,126.0,7.17,4.32,6.08,1
4505,OLB,Florida,250.0,4.74,,,,,,6.17,0
4506,S,USC,219.0,4.59,40.0,19.0,131.0,6.89,4.2,6.17,1
4507,TE,Rice,267.0,4.69,33.5,31.0,119.0,7.08,4.53,6.33,1
4508,S,Illinois,215.0,4.51,34.5,19.0,122.0,7.07,4.44,6.0,0
4509,CB,San Diego State,193.0,4.54,34.5,10.0,119.0,6.81,4.27,5.83,1
4510,CB,Miami (FL),193.0,4.4,33.5,14.0,119.0,6.71,4.18,5.92,1
4511,DT,Oklahoma,308.0,4.98,,,,,,6.25,1
4512,WR,Elon,217.0,4.54,33.5,9.0,123.0,7.11,4.41,6.17,1
4513,RB,Texas A&M,220.0,4.54,43.0,27.0,125.0,6.69,4.02,5.83,1
4514,S,California (PA),203.0,4.62,36.5,,123.0,6.97,4.27,6.0,0
4515,OG,Massachusetts,314.0,5.14,28.5,,104.0,,4.87,6.33,0
4516,CB,Alabama,201.0,4.37,36.0,,122.0,6.95,4.32,6.0,1
4517,OT,Louisiana Tech,316.0,5.37,28.5,20.0,101.0,8.1,4.88,6.42,1
4519,OLB,LSU,241.0,4.58,37.0,,128.0,6.84,4.39,6.33,1
4520,ILB,LSU,246.0,4.81,33.0,25.0,119.0,,,6.0,1
4521,WR,Missouri,204.0,4.74,36.0,26.0,120.0,6.53,3.96,5.92,0
4522,DE,LSU,262.0,4.81,34.5,,114.0,7.18,4.51,6.25,1
4523,OLB,Florida State,236.0,4.71,,17.0,118.0,,,6.08,1
4524,DE,Texas A&M,250.0,4.95,35.5,12.0,122.0,,,6.33,1
4525,OLB,Connecticut,245.0,4.65,38.0,29.0,127.0,7.49,4.31,6.08,1
4526,S,Notre Dame,213.0,4.75,35.5,11.0,126.0,6.75,4.16,6.17,1
4527,QB,Syracuse,227.0,5.06,28.5,,105.0,7.34,4.53,6.17,1
4528,OT,Florida,321.0,5.23,,,,,,6.5,0
4529,OLB,Georgia,242.0,4.7,33.5,20.0,122.0,7.16,4.39,6.17,1
4530,DE,Texas,264.0,4.78,,21.0,,,,6.33,1
4531,TE,San Jose State,230.0,4.69,,,,,,6.42,0
4532,OT,Virginia Tech,306.0,4.95,30.5,32.0,97.0,7.71,4.56,6.33,1
4533,TE,Boston Col.,254.0,4.99,33.5,17.0,110.0,7.48,4.5,6.42,0
4534,WR,Tennessee,216.0,4.42,37.0,,128.0,,,6.17,1
4535,WR,Louisiana Tech,204.0,4.53,33.0,8.0,118.0,6.91,4.01,6.0,1
4536,OLB,Texas A&M,229.0,4.75,35.0,22.0,119.0,,,6.08,1
4537,ILB,Howard,239.0,4.87,33.0,17.0,118.0,7.28,4.47,6.17,0
4538,OLB,Harding,249.0,4.64,37.0,28.0,122.0,6.98,4.4,6.17,1
4539,CB,Oregon State,191.0,4.54,30.5,8.0,118.0,6.87,4.18,6.0,1
4540,FB,Florida State,227.0,4.7,30.0,17.0,114.0,7.28,4.55,5.92,0
4541,OT,Syracuse,307.0,5.12,28.5,,103.0,7.45,4.63,6.33,1
4542,OT,San Jose State,302.0,5.08,29.5,25.0,112.0,7.49,4.45,6.42,1
4543,S,Georgia,211.0,4.56,,17.0,,,,6.0,1
4544,RB,Oklahoma State,204.0,4.63,35.0,,123.0,,,6.0,1
4545,ILB,North Carolina,243.0,4.72,,23.0,113.0,,,6.08,0
4546,TE,Florida,236.0,4.72,,16.0,,,,6.17,1
4547,CB,Florida State,190.0,4.46,,10.0,,,,5.67,0
4548,S,LSU,213.0,4.53,40.5,17.0,134.0,6.99,4.22,6.08,1
4549,QB,Duke,219.0,4.76,,,,,,6.25,1
4550,CB,Florida State,210.0,4.43,40.5,14.0,132.0,,,6.08,1
4551,DT,Missouri,294.0,5.02,32.0,30.0,116.0,,,6.17,1
4552,RB,Notre Dame,201.0,4.68,32.0,,118.0,,,5.83,1
4553,TE,Tennessee,242.0,4.81,31.0,17.0,112.0,7.17,4.43,6.25,1
4554,CB,USC,169.0,4.53,37.5,10.0,127.0,6.74,4.09,5.58,0
4555,WR,Michigan,199.0,4.43,36.5,,123.0,7.09,4.22,5.83,1
4556,WR,Tennessee Tech,217.0,4.5,39.5,10.0,132.0,6.71,4.06,6.17,0
4557,RB,Fresno State,190.0,4.8,34.0,15.0,114.0,6.97,4.25,5.5,0
4558,CB,Rutgers,191.0,4.56,32.5,14.0,116.0,6.69,4.06,5.92,1
4559,OLB,Ohio State,247.0,4.75,,24.0,114.0,,,6.17,0
4560,WR,Baylor,204.0,4.46,33.5,20.0,119.0,7.1,4.38,5.92,0
4561,WR,South Carolina,173.0,4.58,32.0,7.0,117.0,6.81,4.37,5.58,1
4562,C,California,314.0,4.99,26.5,31.0,108.0,7.31,4.74,6.25,1
4563,QB,Arizona,213.0,4.69,31.0,,118.0,6.69,3.99,6.17,0
4564,P,Oklahoma State,189.0,4.86,,,,,,6.08,0
4565,DT,Purdue,299.0,5.08,,,,,,6.25,1
4566,OLB,Ohio State,257.0,4.62,,,,,,6.08,1
4567,CB,LSU,202.0,4.51,34.0,9.0,128.0,,,6.17,1
4568,TE,Michigan State,262.0,4.75,35.0,22.0,112.0,7.36,4.52,6.42,1
4570,S,Notre Dame,195.0,4.57,,,,,,6.0,1
4571,CB,Mississippi State,192.0,4.36,35.5,14.0,124.0,6.9,4.21,6.0,1
4572,QB,West Virginia,218.0,4.58,33.5,,124.0,,,6.17,1
4573,DT,New Hampshire,302.0,5.08,32.5,28.0,115.0,7.2,4.39,6.25,1
4574,DE,Western Kentucky,250.0,4.74,,,,,,6.42,1
4575,WR,Florida State,225.0,4.51,34.5,,120.0,7.03,4.07,6.33,0
4576,QB,Southern Utah,229.0,4.97,29.0,,112.0,7.17,4.55,6.33,1
4577,WR,Lehigh,204.0,4.48,33.5,15.0,119.0,6.72,4.07,6.08,0
4578,DT,Illinois,307.0,5.15,30.0,37.0,107.0,7.82,4.72,6.08,1
4579,DE,Alabama,293.0,5.23,,,,,,6.17,0
4580,RB,Vanderbilt,216.0,4.55,33.0,27.0,122.0,6.7,4.17,5.67,1
4581,S,Nebraska,221.0,4.69,30.5,21.0,111.0,7.06,,6.0,1
4582,C,Penn State,302.0,5.43,24.0,27.0,92.0,7.9,4.96,6.25,0
4583,S,USC,202.0,4.64,36.0,17.0,122.0,6.68,4.34,6.08,0
4584,ILB,Texas A&M,242.0,4.68,31.0,19.0,118.0,7.44,4.53,6.33,0
4585,DE,Cincinnati,246.0,4.69,,,,,,6.33,0
4586,WR,Oklahoma,194.0,4.38,33.5,16.0,124.0,,4.35,6.0,1
4587,TE,Ohio State,252.0,4.65,34.5,18.0,116.0,7.12,4.27,6.25,0
4588,K,Florida,188.0,4.77,,,,,,5.83,1
4589,CB,SMU,186.0,4.56,33.0,15.0,122.0,,,5.83,0
4590,S,South Carolina,208.0,4.67,37.0,17.0,124.0,6.7,4.11,5.83,1
4591,CB,Georgia Tech,189.0,4.42,37.0,11.0,124.0,,,5.92,0
4592,WR,Texas A&M,205.0,4.34,37.0,16.0,125.0,6.76,4.25,6.0,1
4593,ILB,Virginia Tech,237.0,5.01,30.5,19.0,115.0,7.21,4.39,6.08,0
4594,DE,South Carolina,266.0,4.72,35.0,14.0,128.0,6.89,4.3,6.58,1
4595,CB,Boise State,192.0,4.39,35.0,22.0,127.0,6.82,4.06,5.92,1
4596,OLB,Wisconsin,234.0,4.75,,,,,,6.08,0
4597,RB,Stanford,214.0,4.76,30.0,17.0,110.0,7.13,4.5,5.75,1
4598,ILB,Notre Dame,241.0,4.82,33.0,,113.0,7.13,4.27,6.08,1
4599,OLB,Stanford,244.0,4.91,32.0,18.0,113.0,7.17,4.31,6.25,0
4600,OT,Tennessee,306.0,5.08,,,,,,6.42,1
4601,S,Fresno State,208.0,4.65,35.0,14.0,122.0,,,6.0,1
4602,S,Syracuse,213.0,4.42,40.5,28.0,133.0,,4.26,5.75,1
4603,WR,Cincinnati,193.0,4.54,33.5,8.0,121.0,6.88,4.21,6.08,0
4604,RB,Florida State,192.0,4.42,,21.0,,,,5.58,1
4605,OG,Illinois,320.0,5.11,,27.0,,7.45,4.63,6.25,1
4606,TE,Stanford,260.0,4.86,31.0,17.0,113.0,7.09,4.57,6.67,1
4607,OG,Cornell,307.0,5.09,29.5,29.0,109.0,7.48,4.69,6.33,1
4608,CB,Washington,190.0,4.38,37.5,16.0,125.0,,3.85,6.0,1
4609,RB,TCU,221.0,4.55,35.5,17.0,118.0,,,6.0,0
4610,S,Texas,214.0,4.63,38.0,15.0,121.0,6.78,4.06,6.0,1
4611,QB,Iowa,226.0,4.92,32.0,,116.0,6.95,4.52,6.25,0
4612,WR,Duke,196.0,4.68,32.5,,125.0,6.93,4.22,6.0,0
4613,OT,Wisconsin,308.0,5.17,31.5,20.0,101.0,7.94,4.91,6.5,1
4614,RB,LSU,228.0,4.62,,,,,,5.83,1
4615,OG,Kentucky,332.0,5.58,22.5,28.0,96.0,7.78,5.1,6.25,1
4616,OG,Alabama,317.0,5.49,,,110.0,,,6.17,1
4617,DE,Georgia,265.0,4.55,39.0,36.0,128.0,,,6.33,1
4618,OG,James Madison,300.0,5.06,30.0,24.0,107.0,7.77,5.0,6.25,1
4619,OT,Florida State,310.0,5.29,24.5,,103.0,8.31,5.01,6.42,1
4621,OT,Southern Miss,313.0,5.44,21.0,23.0,94.0,8.23,5.07,6.33,0
4622,CB,William & Mary,184.0,4.51,40.5,14.0,132.0,6.82,3.84,5.83,1
4623,CB,South Florida,195.0,4.41,35.0,14.0,125.0,,,5.83,1
4624,DE,Florida State,266.0,4.83,31.0,25.0,111.0,7.3,4.4,6.25,1
4625,OT,Boston Col.,315.0,5.46,25.0,22.0,105.0,7.9,4.81,6.58,0
4626,WR,Oregon State,189.0,4.45,37.0,20.0,120.0,6.8,4.02,5.92,1
4627,S,Georgia Southern,213.0,4.57,35.0,17.0,124.0,7.02,4.09,6.0,1
4628,OLB,Ohio State,241.0,4.88,35.0,24.0,113.0,6.99,4.44,6.25,0
4629,DT,Missouri Southern,335.0,5.37,29.5,38.0,102.0,8.09,4.91,6.08,1
4630,OT,North Carolina,318.0,5.27,,,,,,6.5,1
4631,S,Nevada,203.0,4.48,37.5,13.0,126.0,,4.0,5.92,1
4632,DT,Alabama,323.0,4.94,,30.0,,,,6.25,1
4633,RB,Utah State,195.0,4.48,35.0,17.0,118.0,7.15,4.15,5.67,1
4634,DT,Samford,309.0,4.94,33.0,28.0,111.0,7.55,4.65,6.33,1
4635,S,Georgia,213.0,4.46,36.0,25.0,120.0,7.01,4.25,6.0,1
4636,CB,California,181.0,4.42,40.5,12.0,128.0,6.89,4.1,5.75,1
4637,DT,North Carolina,313.0,5.03,26.5,27.0,102.0,7.93,4.8,6.25,1
4638,WR,Baylor,208.0,4.52,32.5,11.0,119.0,7.01,4.32,6.17,1
4639,DE,Florida International,260.0,4.92,33.0,25.0,112.0,,,6.25,1
4640,OLB,Connecticut,241.0,4.57,38.0,30.0,124.0,,,6.08,1
4641,FB,Kansas State,251.0,4.81,,22.0,,,,6.25,1
4642,WR,Washington State,194.0,4.51,34.5,7.0,122.0,6.65,4.33,6.25,1
4643,QB,Arkansas,215.0,4.95,28.5,,112.0,7.22,4.39,6.17,1
4644,P,LSU,205.0,4.86,,,,,,6.17,0
4645,RB,Cincinnati,218.0,4.75,34.5,22.0,119.0,,,5.83,0
4646,OG,Kent State,320.0,5.22,,9.0,,,,6.33,1
4647,S,North Carolina State,209.0,4.44,39.0,,134.0,,4.07,5.92,1
4648,RB,Notre Dame,213.0,4.56,37.5,16.0,124.0,,,5.92,0
4649,WR,USC,201.0,4.51,33.5,14.0,117.0,7.15,4.47,6.0,1
4650,CB,Nevada,210.0,4.53,33.5,17.0,117.0,6.95,4.18,5.92,1
4651,ILB,Oklahoma,235.0,4.78,31.5,21.0,111.0,7.41,4.51,6.0,0
4652,CB,Connecticut,195.0,4.53,36.0,14.0,128.0,6.97,4.12,6.08,1
4653,WR,Wisconsin,195.0,4.5,30.5,4.0,117.0,6.8,4.08,6.08,1
4654,WR,Fresno State,212.0,4.56,39.5,14.0,123.0,6.82,4.3,6.08,1
4655,S,Utah State,220.0,4.5,38.0,,123.0,7.05,4.51,6.08,1
4656,CB,Purdue,187.0,4.61,35.5,13.0,117.0,,4.15,5.75,1
4657,TE,Texas Tech,265.0,4.74,33.0,28.0,118.0,7.42,4.3,6.42,1
4658,RB,Western Kentucky,225.0,4.82,29.5,20.0,106.0,7.24,4.49,5.83,0
4659,WR,Kent State,173.0,4.26,38.0,20.0,122.0,6.86,4.06,5.67,1
4660,C,Grand Valley State,302.0,5.18,,,,,,6.17,0
4661,RB,Notre Dame,218.0,4.48,38.0,19.0,121.0,7.07,4.46,6.08,0
4662,OLB,Georgia Tech,252.0,,,,,,,6.25,1
4663,S,USC,201.0,4.66,34.0,,113.0,6.97,4.15,6.0,0
4664,OLB,UCLA,255.0,4.66,34.5,15.0,119.0,6.82,4.19,6.42,1
4665,ILB,LSU,237.0,4.64,35.0,22.0,123.0,7.24,4.35,6.08,1
4666,CB,Alabama,182.0,4.48,,11.0,,,,5.92,0
4667,WR,Florida State,240.0,4.61,32.5,13.0,119.0,7.33,4.39,6.42,1
4668,CB,San Jose State,195.0,4.59,40.5,10.0,122.0,6.94,4.38,5.92,1
4669,S,San Diego State,193.0,4.71,35.5,15.0,117.0,7.08,4.22,5.83,1
4670,RB,Colorado State,212.0,4.67,29.0,24.0,106.0,,,5.75,0
4671,OG,Nevada,302.0,4.92,32.0,22.0,114.0,7.37,4.44,6.33,1
4672,TE,Massachusetts,256.0,4.82,,,,,,6.33,1
4673,RB,LSU,223.0,4.63,32.0,13.0,121.0,7.15,4.5,6.17,1
4674,OG,North Carolina,310.0,5.18,29.0,42.0,109.0,8.26,4.66,6.25,1
4675,OG,Iowa,298.0,5.3,25.0,21.0,101.0,7.44,4.61,6.33,0
4676,ILB,Wisconsin,248.0,4.83,31.0,27.0,114.0,7.18,4.27,5.92,1
4677,QB,Central Florida,232.0,4.93,32.5,,115.0,7.08,4.21,6.42,1
4678,S,North Carolina,204.0,4.58,35.0,18.0,116.0,7.04,4.31,6.0,1
4679,K,Rice,185.0,4.93,,,,,,6.17,0
4680,WR,Vanderbilt,206.0,4.73,,12.0,,,,6.33,0
4681,QB,Clemson,222.0,4.84,30.5,,106.0,7.33,4.23,6.08,1
4682,OLB,Arizona State,250.0,4.76,37.5,23.0,122.0,7.25,4.3,6.08,1
4683,CB,Clemson,197.0,4.62,34.5,11.0,123.0,7.04,4.33,5.92,1
4684,QB,Louisville,214.0,,30.0,,113.0,7.17,4.2,6.17,1
4685,OT,Missouri,325.0,5.19,27.5,23.0,100.0,8.14,4.69,6.5,1
